iter	MultiClass
0	1.357525476
1	1.331409605
2	1.31299937
3	1.298315388
4	1.285611868
5	1.272846579
6	1.263954659
7	1.255129802
8	1.248908745
9	1.242988718
10	1.237867421
11	1.229191391
12	1.223176564
13	1.21548199
14	1.208811705
15	1.204121997
16	1.202057582
17	1.199229178
18	1.194939909
19	1.191387741
20	1.18792773
21	1.185300056
22	1.182496347
23	1.180530102
24	1.179892318
25	1.17791712
26	1.176740724
27	1.175826211
28	1.173679535
29	1.17249344
30	1.170798058
31	1.169394465
32	1.169225953
33	1.167071793
34	1.165288808
35	1.165286831
36	1.163790015
37	1.16301772
38	1.161745989
39	1.160520257
40	1.160175631
41	1.159511398
42	1.157968291
43	1.156864553
44	1.15567316
45	1.154409424
46	1.153913303
47	1.152533953
48	1.152210738
49	1.152110044
50	1.151393354
51	1.150841992
52	1.150666248
53	1.150359828
54	1.149082953
55	1.148384512
56	1.148352474
57	1.14774414
58	1.147255476
59	1.146953511
60	1.146952266
61	1.145877444
62	1.14516029
63	1.14415776
64	1.143366478
65	1.143261215
66	1.142592648
67	1.141839645
68	1.141494927
69	1.141124408
70	1.140509111
71	1.140247332
72	1.139400884
73	1.138637823
74	1.138497133
75	1.138058349
76	1.137515677
77	1.136613894
78	1.135591556
79	1.135082607
80	1.134315041
81	1.133715628
82	1.1328887
83	1.132704565
84	1.132264592
85	1.131684478
86	1.130897395
87	1.130725166
88	1.130100978
89	1.129329642
90	1.128729545
91	1.127845602
92	1.127540394
93	1.127516833
94	1.126652667
95	1.126082074
96	1.125723025
97	1.124994737
98	1.12431786
99	1.123580285
