iter	Passed	Remaining
0	26	2589
1	56	2789
2	87	2821
3	116	2797
4	148	2815
5	174	2731
6	198	2635
7	223	2573
8	247	2503
9	272	2449
10	298	2412
11	318	2337
12	335	2242
13	358	2204
14	383	2170
15	407	2138
16	421	2057
17	446	2034
18	476	2031
19	505	2023
20	536	2017
21	566	2007
22	596	1997
23	625	1980
24	637	1911
25	668	1902
26	708	1916
27	730	1878
28	768	1882
29	799	1865
30	829	1847
31	858	1825
32	875	1778
33	908	1762
34	939	1744
35	945	1680
36	1003	1708
37	1034	1687
38	1065	1665
39	1095	1643
40	1124	1618
41	1154	1593
42	1184	1570
43	1216	1548
44	1247	1524
45	1277	1499
46	1307	1474
47	1338	1450
48	1368	1424
49	1398	1398
50	1427	1371
51	1456	1344
52	1481	1314
53	1506	1282
54	1529	1251
55	1554	1221
56	1577	1189
57	1600	1159
58	1625	1129
59	1649	1099
60	1658	1060
61	1683	1031
62	1708	1003
63	1732	974
64	1776	956
65	1803	929
66	1827	899
67	1850	870
68	1874	841
69	1899	814
70	1923	785
71	1946	756
72	1970	728
73	1993	700
74	2017	672
75	2041	644
76	2064	616
77	2091	589
78	2115	562
79	2139	534
80	2162	507
81	2186	479
82	2210	452
83	2235	425
84	2259	398
85	2284	371
86	2308	344
87	2331	317
88	2354	291
89	2378	264
90	2402	237
91	2428	211
92	2451	184
93	2461	157
94	2487	130
95	2512	104
96	2535	78
97	2559	52
98	2582	26
99	2608	0
